Board_ID,Difficulty,Algorithm,Threads,Rep,Time_s,Correct
easy_002,Easy,OMP-BranchBoundMRV,8,4,0.004198790,1
easy_002,Easy,OMP-BranchBoundMRV,8,5,0.001025915,1
easy_002,Easy,OMP-BranchBoundMRV,16,1,0.023313999,1
easy_002,Easy,OMP-BranchBoundMRV,16,2,0.026751041,1
easy_002,Easy,OMP-BranchBoundMRV,16,3,0.011808872,1
easy_002,Easy,OMP-BranchBoundMRV,16,4,0.017674923,1
easy_002,Easy,OMP-BranchBoundMRV,16,5,0.010787964,1
easy_003,Easy,Serial,1,1,0.014911875,1
easy_003,Easy,Serial,1,2,0.014215458,1
easy_003,Easy,Serial,1,3,0.014072250,1
easy_003,Easy,Serial,1,4,0.013537417,1
easy_003,Easy,Serial,1,5,0.013324750,1
easy_003,Easy,Serial-MRV,1,1,0.001054625,1
easy_003,Easy,Serial-MRV,1,2,0.001058208,1
easy_003,Easy,Serial-MRV,1,3,0.001199042,1
easy_003,Easy,Serial-MRV,1,4,0.001033000,1
easy_003,Easy,Serial-MRV,1,5,0.001099041,1
easy_003,Easy,BranchBound,1,1,0.012110125,1
easy_003,Easy,BranchBound,1,2,0.012128667,1
easy_003,Easy,BranchBound,1,3,0.012376125,1
easy_003,Easy,BranchBound,1,4,0.012383584,1
easy_003,Easy,BranchBound,1,5,0.012407375,1
easy_003,Easy,BranchBoundMRV,1,1,0.001641375,1
easy_003,Easy,BranchBoundMRV,1,2,0.001598750,1
easy_003,Easy,BranchBoundMRV,1,3,0.001504583,1
easy_003,Easy,BranchBoundMRV,1,4,0.001502791,1
easy_003,Easy,BranchBoundMRV,1,5,0.001541583,1
easy_003,Easy,OpenMP,4,1,0.001260996,1
easy_003,Easy,OpenMP,4,2,0.001230955,1
easy_003,Easy,OpenMP,4,3,0.001245022,1
easy_003,Easy,OpenMP,4,4,0.001208067,1
easy_003,Easy,OpenMP,4,5,0.001202106,1
easy_003,Easy,OpenMP,8,1,0.002671957,1
easy_003,Easy,OpenMP,8,2,0.001530886,1
easy_003,Easy,OpenMP,8,3,0.002665997,1
easy_003,Easy,OpenMP,8,4,0.002555132,1
easy_003,Easy,OpenMP,8,5,0.001185894,1
easy_003,Easy,OpenMP,16,1,0.008890152,1
easy_003,Easy,OpenMP,16,2,0.009134054,1
easy_003,Easy,OpenMP,16,3,0.012876034,1
easy_003,Easy,OpenMP,16,4,0.004424095,1
easy_003,Easy,OpenMP,16,5,0.006324053,1
easy_003,Easy,OMP-BranchBoundMRV,4,1,0.001852989,1
easy_003,Easy,OMP-BranchBoundMRV,4,2,0.001912117,1
easy_003,Easy,OMP-BranchBoundMRV,4,3,0.001961946,1
easy_003,Easy,OMP-BranchBoundMRV,4,4,0.002506018,1
easy_003,Easy,OMP-BranchBoundMRV,4,5,0.002191067,1
easy_003,Easy,OMP-BranchBoundMRV,8,1,0.003816128,1
easy_003,Easy,OMP-BranchBoundMRV,8,2,0.001996040,1
easy_003,Easy,OMP-BranchBoundMRV,8,3,0.001918077,1
easy_003,Easy,OMP-BranchBoundMRV,8,4,0.002429962,1
easy_003,Easy,OMP-BranchBoundMRV,8,5,0.003884077,1
easy_003,Easy,OMP-BranchBoundMRV,16,1,0.018198013,1
easy_003,Easy,OMP-BranchBoundMRV,16,2,0.010269880,1
easy_003,Easy,OMP-BranchBoundMRV,16,3,0.025106192,1
easy_003,Easy,OMP-BranchBoundMRV,16,4,0.006578922,1
easy_003,Easy,OMP-BranchBoundMRV,16,5,0.004314184,1
easy_004,Easy,Serial,1,1,0.001255792,1
easy_004,Easy,Serial,1,2,0.001313417,1
easy_004,Easy,Serial,1,3,0.001379458,1
easy_004,Easy,Serial,1,4,0.001281750,1
easy_004,Easy,Serial,1,5,0.001357833,1
easy_004,Easy,Serial-MRV,1,1,0.000903625,1
easy_004,Easy,Serial-MRV,1,2,0.000789542,1
easy_004,Easy,Serial-MRV,1,3,0.000750000,1
easy_004,Easy,Serial-MRV,1,4,0.000835125,1
easy_004,Easy,Serial-MRV,1,5,0.000747417,1
easy_004,Easy,BranchBound,1,1,0.001292166,1
easy_004,Easy,BranchBound,1,2,0.001227458,1
easy_004,Easy,BranchBound,1,3,0.001075042,1
easy_004,Easy,BranchBound,1,4,0.001274459,1
easy_004,Easy,BranchBound,1,5,0.001084334,1
easy_004,Easy,BranchBoundMRV,1,1,0.001046791,1
easy_004,Easy,BranchBoundMRV,1,2,0.001063625,1
easy_004,Easy,BranchBoundMRV,1,3,0.001033667,1
easy_004,Easy,BranchBoundMRV,1,4,0.001094417,1
easy_004,Easy,BranchBoundMRV,1,5,0.001042667,1
easy_004,Easy,OpenMP,4,1,0.000859022,1
easy_004,Easy,OpenMP,4,2,0.000829220,1
easy_004,Easy,OpenMP,4,3,0.000798941,1
easy_004,Easy,OpenMP,4,4,0.000787973,1
easy_004,Easy,OpenMP,4,5,0.000817060,1
easy_004,Easy,OpenMP,8,1,0.000806808,1
easy_004,Easy,OpenMP,8,2,0.002043009,1
easy_004,Easy,OpenMP,8,3,0.002170086,1
easy_004,Easy,OpenMP,8,4,0.000790119,1
easy_004,Easy,OpenMP,8,5,0.000779152,1
easy_004,Easy,OpenMP,16,1,0.021049023,1
easy_004,Easy,OpenMP,16,2,0.060997963,1
easy_004,Easy,OpenMP,16,3,0.028625011,1
easy_004,Easy,OpenMP,16,4,0.007977009,1
easy_004,Easy,OpenMP,16,5,0.010068893,1
easy_004,Easy,OMP-BranchBoundMRV,4,1,0.001259089,1
easy_004,Easy,OMP-BranchBoundMRV,4,2,0.001257896,1
easy_004,Easy,OMP-BranchBoundMRV,4,3,0.001159906,1
easy_004,Easy,OMP-BranchBoundMRV,4,4,0.001202106,1
easy_004,Easy,OMP-BranchBoundMRV,4,5,0.001147985,1
easy_004,Easy,OMP-BranchBoundMRV,8,1,0.001618862,1
easy_004,Easy,OMP-BranchBoundMRV,8,2,0.001262903,1
easy_004,Easy,OMP-BranchBoundMRV,8,3,0.001309156,1
easy_004,Easy,OMP-BranchBoundMRV,8,4,0.001127958,1
easy_004,Easy,OMP-BranchBoundMRV,8,5,0.001725912,1
easy_004,Easy,OMP-BranchBoundMRV,16,1,0.024897099,1
easy_004,Easy,OMP-BranchBoundMRV,16,2,0.003986120,1
easy_004,Easy,OMP-BranchBoundMRV,16,3,0.009480953,1
easy_004,Easy,OMP-BranchBoundMRV,16,4,0.019187927,1
easy_004,Easy,OMP-BranchBoundMRV,16,5,0.037493944,1
easy_005,Easy,Serial,1,1,0.000260375,1
easy_005,Easy,Serial,1,2,0.000258250,1
easy_005,Easy,Serial,1,3,0.000254334,1
easy_005,Easy,Serial,1,4,0.000261125,1
easy_005,Easy,Serial,1,5,0.000253750,1
easy_005,Easy,Serial-MRV,1,1,0.000959542,1
easy_005,Easy,Serial-MRV,1,2,0.000980417,1
easy_005,Easy,Serial-MRV,1,3,0.000951917,1
easy_005,Easy,Serial-MRV,1,4,0.001031875,1
easy_005,Easy,Serial-MRV,1,5,0.000951875,1
easy_005,Easy,BranchBound,1,1,0.000243500,1
easy_005,Easy,BranchBound,1,2,0.000238291,1
easy_005,Easy,BranchBound,1,3,0.000237750,1
easy_005,Easy,BranchBound,1,4,0.000237625,1
easy_005,Easy,BranchBound,1,5,0.000237542,1
easy_005,Easy,BranchBoundMRV,1,1,0.001201625,1
easy_005,Easy,BranchBoundMRV,1,2,0.001180333,1
easy_005,Easy,BranchBoundMRV,1,3,0.001156333,1
easy_005,Easy,BranchBoundMRV,1,4,0.001154083,1
easy_005,Easy,BranchBoundMRV,1,5,0.001175208,1
easy_005,Easy,OpenMP,4,1,0.001042843,1
easy_005,Easy,OpenMP,4,2,0.001055956,1
easy_005,Easy,OpenMP,4,3,0.001025200,1
easy_005,Easy,OpenMP,4,4,0.001024008,1
easy_005,Easy,OpenMP,4,5,0.001027822,1
easy_005,Easy,OpenMP,8,1,0.002306938,1
easy_005,Easy,OpenMP,8,2,0.001028061,1
easy_005,Easy,OpenMP,8,3,0.001029015,1
easy_005,Easy,OpenMP,8,4,0.001029015,1
easy_005,Easy,OpenMP,8,5,0.001025915,1
easy_005,Easy,OpenMP,16,1,0.009002924,1
easy_005,Easy,OpenMP,16,2,0.033625126,1
easy_005,Easy,OpenMP,16,3,0.040913105,1
easy_005,Easy,OpenMP,16,4,0.020485163,1
easy_005,Easy,OpenMP,16,5,0.006431103,1
easy_005,Easy,OMP-BranchBoundMRV,4,1,0.001286983,1
easy_005,Easy,OMP-BranchBoundMRV,4,2,0.001317024,1
easy_005,Easy,OMP-BranchBoundMRV,4,3,0.001257896,1
easy_005,Easy,OMP-BranchBoundMRV,4,4,0.001475096,1
easy_005,Easy,OMP-BranchBoundMRV,4,5,0.001607895,1
easy_005,Easy,OMP-BranchBoundMRV,8,1,0.002268076,1
easy_005,Easy,OMP-BranchBoundMRV,8,2,0.001286030,1
easy_005,Easy,OMP-BranchBoundMRV,8,3,0.002293110,1
easy_005,Easy,OMP-BranchBoundMRV,8,4,0.001652956,1
easy_005,Easy,OMP-BranchBoundMRV,8,5,0.002418041,1
easy_005,Easy,OMP-BranchBoundMRV,16,1,0.015532017,1
easy_005,Easy,OMP-BranchBoundMRV,16,2,0.016634226,1
easy_005,Easy,OMP-BranchBoundMRV,16,3,0.006484985,1
easy_005,Easy,OMP-BranchBoundMRV,16,4,0.005044937,1
easy_005,Easy,OMP-BranchBoundMRV,16,5,0.015083075,1
easy_006,Easy,Serial,1,1,0.000876958,1
easy_006,Easy,Serial,1,2,0.000897042,1
easy_006,Easy,Serial,1,3,0.000877541,1
easy_006,Easy,Serial,1,4,0.000862417,1
easy_006,Easy,Serial,1,5,0.000865500,1
easy_006,Easy,Serial-MRV,1,1,0.001058458,1
easy_006,Easy,Serial-MRV,1,2,0.001112542,1
easy_006,Easy,Serial-MRV,1,3,0.001097125,1
easy_006,Easy,Serial-MRV,1,4,0.001076666,1
easy_006,Easy,Serial-MRV,1,5,0.001053959,1
easy_006,Easy,BranchBound,1,1,0.000750541,1
easy_006,Easy,BranchBound,1,2,0.000738625,1
easy_006,Easy,BranchBound,1,3,0.000754458,1
easy_006,Easy,BranchBound,1,4,0.000738250,1
easy_006,Easy,BranchBound,1,5,0.000738208,1
easy_006,Easy,BranchBoundMRV,1,1,0.001444042,1
easy_006,Easy,BranchBoundMRV,1,2,0.001399084,1
easy_006,Easy,BranchBoundMRV,1,3,0.001398875,1
easy_006,Easy,BranchBoundMRV,1,4,0.001398916,1
easy_006,Easy,BranchBoundMRV,1,5,0.001450875,1
easy_006,Easy,OpenMP,4,1,0.001147985,1
easy_006,Easy,OpenMP,4,2,0.001196146,1
easy_006,Easy,OpenMP,4,3,0.001141071,1
easy_006,Easy,OpenMP,4,4,0.001139164,1
easy_006,Easy,OpenMP,4,5,0.001134157,1
easy_006,Easy,OpenMP,8,1,0.001137018,1
easy_006,Easy,OpenMP,8,2,0.002545834,1
easy_006,Easy,OpenMP,8,3,0.001296997,1
easy_006,Easy,OpenMP,8,4,0.001248121,1
easy_006,Easy,OpenMP,8,5,0.002556086,1
easy_006,Easy,OpenMP,16,1,0.071512938,1
easy_006,Easy,OpenMP,16,2,0.047962189,1
easy_006,Easy,OpenMP,16,3,0.008366108,1
easy_006,Easy,OpenMP,16,4,0.005756855,1
easy_006,Easy,OpenMP,16,5,0.011353970,1
easy_006,Easy,OMP-BranchBoundMRV,4,1,0.001552105,1
easy_006,Easy,OMP-BranchBoundMRV,4,2,0.001553059,1
easy_006,Easy,OMP-BranchBoundMRV,4,3,0.001567125,1
easy_006,Easy,OMP-BranchBoundMRV,4,4,0.001523972,1
easy_006,Easy,OMP-BranchBoundMRV,4,5,0.001595020,1
easy_006,Easy,OMP-BranchBoundMRV,8,1,0.003827095,1
easy_006,Easy,OMP-BranchBoundMRV,8,2,0.001931190,1
easy_006,Easy,OMP-BranchBoundMRV,8,3,0.005666971,1
easy_006,Easy,OMP-BranchBoundMRV,8,4,0.002099991,1
easy_006,Easy,OMP-BranchBoundMRV,8,5,0.002721071,1
easy_006,Easy,OMP-BranchBoundMRV,16,1,0.008830070,1
easy_006,Easy,OMP-BranchBoundMRV,16,2,0.023061037,1
easy_006,Easy,OMP-BranchBoundMRV,16,3,0.014431000,1
easy_006,Easy,OMP-BranchBoundMRV,16,4,0.020416021,1
easy_006,Easy,OMP-BranchBoundMRV,16,5,0.018197060,1
easy_007,Easy,Serial,1,1,0.002765209,1
easy_007,Easy,Serial,1,2,0.002609000,1
easy_007,Easy,Serial,1,3,0.002612209,1
easy_007,Easy,Serial,1,4,0.002639458,1
easy_007,Easy,Serial,1,5,0.002644916,1
easy_007,Easy,Serial-MRV,1,1,0.000714500,1
easy_007,Easy,Serial-MRV,1,2,0.000666417,1
easy_007,Easy,Serial-MRV,1,3,0.000658541,1
easy_007,Easy,Serial-MRV,1,4,0.000658250,1
easy_007,Easy,Serial-MRV,1,5,0.000676041,1
easy_007,Easy,BranchBound,1,1,0.002551459,1
easy_007,Easy,BranchBound,1,2,0.002584417,1
easy_007,Easy,BranchBound,1,3,0.002568583,1
easy_007,Easy,BranchBound,1,4,0.002540417,1
easy_007,Easy,BranchBound,1,5,0.002534958,1
easy_007,Easy,BranchBoundMRV,1,1,0.000905042,1
easy_007,Easy,BranchBoundMRV,1,2,0.000894583,1
easy_007,Easy,BranchBoundMRV,1,3,0.000902291,1
easy_007,Easy,BranchBoundMRV,1,4,0.000968875,1
easy_007,Easy,BranchBoundMRV,1,5,0.000923792,1
easy_007,Easy,OpenMP,4,1,0.000730991,1
easy_007,Easy,OpenMP,4,2,0.000717878,1
easy_007,Easy,OpenMP,4,3,0.000717878,1
easy_007,Easy,OpenMP,4,4,0.000717163,1
easy_007,Easy,OpenMP,4,5,0.000718117,1
easy_007,Easy,OpenMP,8,1,0.000734091,1
easy_007,Easy,OpenMP,8,2,0.001614809,1
easy_007,Easy,OpenMP,8,3,0.000724077,1
easy_007,Easy,OpenMP,8,4,0.000710964,1
easy_007,Easy,OpenMP,8,5,0.000756979,1
easy_007,Easy,OpenMP,16,1,0.017019033,1
easy_007,Easy,OpenMP,16,2,0.046449900,1
easy_007,Easy,OpenMP,16,3,0.024214029,1
easy_007,Easy,OpenMP,16,4,0.010715008,1
easy_007,Easy,OpenMP,16,5,0.009244919,1
easy_007,Easy,OMP-BranchBoundMRV,4,1,0.001201868,1
easy_007,Easy,OMP-BranchBoundMRV,4,2,0.001112938,1
easy_007,Easy,OMP-BranchBoundMRV,4,3,0.001254082,1
easy_007,Easy,OMP-BranchBoundMRV,4,4,0.000973225,1
easy_007,Easy,OMP-BranchBoundMRV,4,5,0.001077890,1
easy_007,Easy,OMP-BranchBoundMRV,8,1,0.001391172,1
easy_007,Easy,OMP-BranchBoundMRV,8,2,0.001196146,1
easy_007,Easy,OMP-BranchBoundMRV,8,3,0.002984047,1
easy_007,Easy,OMP-BranchBoundMRV,8,4,0.001023054,1
easy_007,Easy,OMP-BranchBoundMRV,8,5,0.001021862,1
