Board_ID,Difficulty,Algorithm,Threads,Rep,Time_s,Nodes,Correct
easy_001,Easy,Serial,1,1,0.002646375,5573,1
easy_001,Easy,Serial,1,2,0.002340458,5573,1
easy_001,Easy,Serial,1,3,0.002477375,5573,1
easy_001,Easy,Serial,1,4,0.002390458,5573,1
easy_001,Easy,Serial,1,5,0.002307000,5573,1
easy_001,Easy,Serial-MRV,1,1,0.000745709,51,1
easy_001,Easy,Serial-MRV,1,2,0.000767667,51,1
easy_001,Easy,Serial-MRV,1,3,0.000730750,51,1
easy_001,Easy,Serial-MRV,1,4,0.000678833,51,1
easy_001,Easy,Serial-MRV,1,5,0.000685375,51,1
easy_001,Easy,BranchBound,1,1,0.002700792,5573,1
easy_001,Easy,BranchBound,1,2,0.002606667,5573,1
easy_001,Easy,BranchBound,1,3,0.002559875,5573,1
easy_001,Easy,BranchBound,1,4,0.002517875,5573,1
easy_001,Easy,BranchBound,1,5,0.002639875,5573,1
easy_001,Easy,BranchBoundMRV,1,1,0.000767500,51,1
easy_001,Easy,BranchBoundMRV,1,2,0.000786292,51,1
easy_001,Easy,BranchBoundMRV,1,3,0.000813750,51,1
easy_001,Easy,BranchBoundMRV,1,4,0.000777833,51,1
easy_001,Easy,BranchBoundMRV,1,5,0.000750958,51,1
easy_001,Easy,OpenMP,4,1,0.000986099,51,1
easy_001,Easy,OpenMP,4,2,0.000766993,51,1
easy_001,Easy,OpenMP,4,3,0.000761032,51,1
easy_001,Easy,OpenMP,4,4,0.000797033,51,1
easy_001,Easy,OpenMP,4,5,0.000756025,51,1
easy_001,Easy,OpenMP,8,1,0.002635956,51,1
easy_001,Easy,OpenMP,8,2,0.000775814,51,1
easy_001,Easy,OpenMP,8,3,0.004216909,51,1
easy_001,Easy,OpenMP,8,4,0.001641035,51,1
easy_001,Easy,OpenMP,8,5,0.001098156,51,1
easy_001,Easy,OpenMP,16,1,0.004440069,51,1
easy_001,Easy,OpenMP,16,2,0.003491879,51,1
easy_001,Easy,OpenMP,16,3,0.013602018,51,1
easy_001,Easy,OpenMP,16,4,0.010376930,51,1
easy_001,Easy,OpenMP,16,5,0.018859148,51,1
easy_001,Easy,OMP-BranchBoundMRV,4,1,0.000839949,51,1
easy_001,Easy,OMP-BranchBoundMRV,4,2,0.000819921,51,1
easy_001,Easy,OMP-BranchBoundMRV,4,3,0.000797987,51,1
easy_001,Easy,OMP-BranchBoundMRV,4,4,0.000792027,51,1
easy_001,Easy,OMP-BranchBoundMRV,4,5,0.000796080,51,1
easy_001,Easy,OMP-BranchBoundMRV,8,1,0.002434969,51,1
easy_001,Easy,OMP-BranchBoundMRV,8,2,0.000890970,51,1
easy_001,Easy,OMP-BranchBoundMRV,8,3,0.001230955,51,1
easy_001,Easy,OMP-BranchBoundMRV,8,4,0.005578041,51,1
easy_001,Easy,OMP-BranchBoundMRV,8,5,0.000905037,51,1
easy_001,Easy,OMP-BranchBoundMRV,16,1,0.021361828,51,1
easy_001,Easy,OMP-BranchBoundMRV,16,2,0.025681973,51,1
easy_001,Easy,OMP-BranchBoundMRV,16,3,0.011136055,51,1
easy_001,Easy,OMP-BranchBoundMRV,16,4,0.030479193,51,1
easy_001,Easy,OMP-BranchBoundMRV,16,5,0.029159069,51,1
easy_002,Easy,Serial,1,1,0.001444708,3442,1
