Board_ID,Difficulty,Algorithm,Threads,Rep,Time_s,Nodes,Correct
easy_002,Easy,OMP-BranchBoundMRV,4,4,0.001009941,53,1
easy_002,Easy,OMP-BranchBoundMRV,4,5,0.001011848,53,1
easy_002,Easy,OMP-BranchBoundMRV,8,1,0.001021147,53,1
easy_002,Easy,OMP-BranchBoundMRV,8,2,0.001095057,53,1
easy_002,Easy,OMP-BranchBoundMRV,8,3,0.001024961,53,1
easy_002,Easy,OMP-BranchBoundMRV,8,4,0.001029015,53,1
easy_002,Easy,OMP-BranchBoundMRV,8,5,0.001009941,53,1
easy_002,Easy,OMP-BranchBoundMRV,16,1,0.037256002,53,1
easy_002,Easy,OMP-BranchBoundMRV,16,2,0.030392885,53,1
easy_002,Easy,OMP-BranchBoundMRV,16,3,0.029206991,53,1
easy_002,Easy,OMP-BranchBoundMRV,16,4,0.007994175,53,1
easy_002,Easy,OMP-BranchBoundMRV,16,5,0.011036158,53,1
easy_003,Easy,Serial,1,1,0.014457750,28736,1
easy_003,Easy,Serial,1,2,0.014344875,28736,1
easy_003,Easy,Serial,1,3,0.014352917,28736,1
easy_003,Easy,Serial,1,4,0.014399042,28736,1
easy_003,Easy,Serial,1,5,0.013616500,28736,1
easy_003,Easy,Serial-MRV,1,1,0.001097459,70,1
easy_003,Easy,Serial-MRV,1,2,0.001103125,70,1
easy_003,Easy,Serial-MRV,1,3,0.001085375,70,1
easy_003,Easy,Serial-MRV,1,4,0.001067041,70,1
easy_003,Easy,Serial-MRV,1,5,0.001059083,70,1
easy_003,Easy,BranchBound,1,1,0.012179375,28736,1
easy_003,Easy,BranchBound,1,2,0.012093583,28736,1
easy_003,Easy,BranchBound,1,3,0.012227084,28736,1
easy_003,Easy,BranchBound,1,4,0.012140375,28736,1
easy_003,Easy,BranchBound,1,5,0.012161834,28736,1
easy_003,Easy,BranchBoundMRV,1,1,0.001548084,70,1
easy_003,Easy,BranchBoundMRV,1,2,0.001684125,70,1
